,tweet_id,favorite_count,retweet_count
408,821522889702862852,8046,1757
409,821421320206483457,0,5577
410,821407182352777218,11784,4333
411,821153421864615936,257,10
412,821149554670182400,8635,1973
413,821107785811234820,9612,2135
414,821044531881721856,12682,2278
415,820837357901512704,0,6724
416,820749716845686786,31588,9866
417,820690176645140481,12249,3228
418,820494788566847489,0,566
419,820446719150292993,0,2565
420,820314633777061888,3357,566
421,820078625395449857,19843,6276
422,820013781606658049,0,1176
423,819952236453363712,5337,1176
424,819924195358416896,12949,4879
425,819711362133872643,13405,3109
426,819588359383371776,9676,1989
427,819347104292290561,7231,1207
428,819238181065359361,2278,407
429,819227688460238848,23120,6724
430,819015337530290176,0,36886
431,819015331746349057,0,18981
432,819006400881917954,45439,18981
433,819004803107983360,87125,36886
434,818646164899774465,0,20984
435,818627210458333184,22474,7541
436,818614493328580609,9871,2557
437,818588835076603904,0,6132
438,818536468981415936,10933,2458
439,818307523543449600,0,8083
440,818259473185828864,11056,2266
441,818145370475810820,12305,2570
442,817908911860748288,4875,802
443,817827839487737858,51804,27088
444,817777686764523521,10790,2690
445,817536400337801217,11811,2968
446,817502432452313088,0,3387
447,817423860136083457,33931,14712
448,817415592588222464,5614,945
449,817181837579653120,0,8473
450,817171292965273600,8800,2027
451,817120970343411712,12265,2600
452,817056546584727552,8625,1646
453,816829038950027264,0,4728
454,816816676327063552,10045,2039
455,816697700272001025,9816,2192
456,816450570814898180,30525,8083
457,816336735214911488,8639,1950
458,816091915477250048,8989,2145
459,816062466425819140,0,1018
460,816014286006976512,0,5269
461,815990720817401858,4966,1018
462,815966073409433600,22504,8473
463,815745968457060357,0,4142
464,815736392542261248,9892,2268
465,815639385530101762,8272,1660
466,815390420867969024,10406,3816
467,814986499976527872,7701,1279
468,814638523311648768,11332,2704
469,814578408554463233,0,5852
470,814530161257443328,8685,1867
471,814153002265309185,28899,8703
472,813944609378369540,0,3198
473,813910438903693312,9351,1871
474,813812741911748608,36606,14021
475,813800681631023104,8374,1763
476,813217897535406080,18742,7324
477,813202720496779264,9290,1824
478,813187593374461952,19975,4370
479,813172488309972993,9321,1934
480,813157409116065792,7822,2224
481,813142292504645637,8535,2397
482,813130366689148928,4500,452
483,813127251579564032,11913,3149
484,813112105746448384,10364,2755
485,813096984823349248,10645,3641
486,813081950185472002,9947,2800
487,813066809284972545,8005,1966
488,813051746834595840,21121,7397
489,812781120811126785,7618,1913
490,812709060537683968,6652,1438
491,812503143955202048,6108,1226
492,812466873996607488,8011,1946
493,812372279581671427,13730,3678
494,811985624773361665,7318,1407
495,811744202451197953,7592,1605
496,811647686436880384,5656,747
497,811627233043480576,12857,3101
498,811386762094317568,21057,6427
499,810984652412424192,5371,1449
500,810896069567610880,9071,1784
501,810657578271330305,11047,2667
502,810284430598270976,35470,11343
503,810254108431155201,14796,3399
504,809920764300447744,15667,3964
505,809808892968534016,0,4916
506,809448704142938112,6991,1474
507,809220051211603969,20069,5635
508,809084759137812480,13345,3558
509,808838249661788160,10196,3059
510,808733504066486276,7961,2181
511,808501579447930884,11401,2616
512,808344865868283904,42865,20984
513,808134635716833280,0,5960
514,808106460588765185,8871,2224
515,808001312164028416,12638,3561
516,807621403335917568,14704,3640
517,807106840509214720,119121,55727
518,807059379405148160,0,7393
519,807010152071229440,13189,3888
520,806629075125202948,75253,34863
521,806620845233815552,0,5572
522,806576416489959424,4940,1968
523,806542213899489280,10307,2376
524,806242860592926720,0,11696
525,806219024703037440,6497,1200
526,805958939288408065,0,5405
527,805932879469572096,8346,1937
528,805826884734976000,6611,1834
529,805823200554876929,0,8058
530,805520635690676224,5805,1668
531,805487436403003392,8870,2544
532,805207613751304193,7900,1730
533,804738756058218496,13822,3837
534,804475857670639616,6188,2024
535,804413760345620481,0,3257
536,804026241225523202,44813,16243
537,803773340896923648,10143,2759
538,803692223237865472,0,7482
539,803638050916102144,11033,4176
540,803380650405482500,7835,1883
541,803321560782307329,0,5364
542,803276597545603072,10125,2475
543,802952499103731712,9095,2015
544,802624713319034886,0,2936
545,802600418706604034,7168,1480
546,802572683846291456,9014,2527
547,802323869084381190,16331,5865
548,802265048156610565,6815,1385
549,802239329049477120,9160,2643
550,802185808107208704,0,274
551,801958328846974976,7820,1730
552,801854953262350336,1800,237
553,801538201127157760,8302,2086
554,801285448605831168,6104,826
555,801167903437357056,24658,5960
556,801127390143516673,0,3984
557,801115127852503040,8142,2111
558,800859414831898624,693,98
559,800855607700029440,0,1625
560,800751577355128832,10655,2815
561,800513324630806528,13230,3012
562,800459316964663297,9593,2188
563,800443802682937345,0,4352
564,800388270626521089,11236,2834
565,800188575492947969,0,3981
566,800141422401830912,15418,2565
567,800018252395122689,28609,13260
568,799774291445383169,0,4720
569,799757965289017345,8468,2182
570,799422933579902976,8139,1940
571,799308762079035393,0,5507
572,799297110730567681,9973,2783
573,799063482566066176,8148,2492
574,798933969379225600,13197,4490
575,798925684722855936,7574,1454
576,798705661114773508,0,6700
577,798701998996647937,0,7845
578,798697898615730177,0,6583
579,798694562394996736,0,4995
580,798686750113755136,0,2357
581,798682547630837760,0,4761
582,798673117451325440,0,5595
583,798665375516884993,0,3945
584,798644042770751489,0,1868
585,798628517273620480,0,1994
586,798585098161549313,0,5730
587,798576900688019456,0,5896
588,798340744599797760,0,3358
589,798209839306514432,10505,2583
590,797971864723324932,11692,3132
591,797545162159308800,14680,4904
592,797236660651966464,20130,6628
593,797165961484890113,226,26
594,796904159865868288,0,8991
595,796865951799083009,7756,1939
596,796759840936919040,11932,3053
597,796563435802726400,0,7323
598,796484825502875648,7637,1773
599,796387464403357696,11097,4173
600,796177847564038144,0,14378
601,796149749086875649,32491,14378
602,796125600683540480,5010,1821
603,796116448414461957,9176,2436
604,796080075804475393,8539,2326
605,796031486298386433,10893,3741
606,795464331001561088,49951,23740
607,795400264262053889,10144,2891
608,795076730285391872,16334,5472
609,794983741416415232,0,3395
610,794926597468000259,10321,2319
611,794355576146903043,0,10354
612,794332329137291264,9667,2706
613,794205286408003585,9301,3344
614,793962221541933056,16969,4916
615,793845145112371200,9308,1879
616,793614319594401792,0,3158
617,793601777308463104,8046,1637
618,793500921481273345,10754,2387
619,793286476301799424,24797,9232
620,793271401113350145,8771,2411
621,793256262322548741,20135,8393
622,793241302385262592,10593,3320
623,793226087023144960,9915,2902
624,793210959003287553,9000,2818
625,793195938047070209,15388,5666
626,793180763617361921,6993,2020
627,793165685325201412,9477,2815
628,793150605191548928,6229,1716
629,793135492858580992,6465,2514
630,793120401413079041,12761,3948
631,792913359805018113,14446,4014
632,792883833364439040,11380,4300
633,792773781206999040,7412,1689
634,792394556390137856,13549,4323
635,792050063153438720,7213,1809
636,791821351946420224,0,21243
637,791784077045166082,0,9641
638,791780927877898241,0,3849
639,791774931465953280,45461,22345
640,791672322847637504,11843,3158
641,791406955684368384,13230,4142
642,791312159183634433,8860,2555
643,791026214425268224,0,4124
644,790987426131050500,9904,2149
645,790946055508652032,16770,4728
646,790723298204217344,0,2329
647,790698755171364864,8284,1940
648,790581949425475584,20802,7187
649,790337589677002753,7887,1898
650,790277117346975746,12670,3198
651,790227638568808452,0,3590
652,789986466051088384,9331,2329
653,789960241177853952,0,4156
